5,포항남부DT,경상북도 포항시 새천년대로 526,아침메뉴,24시간,딜리버리,054-278-0989,https://www.subway.co.kr/images/common/icon_detail_view.png
4,경산대구대,경상북도 경산시 진량읍 대구대로 201 과학생명융합대학 3호관,아침메뉴,24시간,딜리버리,053-856-7073,https://www.subway.co.kr/images/common/icon_detail_view.png
3,경산하양,경상북도 경산시 하양읍 하양로 34,아침메뉴,24시간,딜리버리,053-857-5761,https://www.subway.co.kr/images/common/icon_detail_view.png
2,경산영남대,경상북도 경산시 대학로 281-1,아침메뉴,24시간,딜리버리,053-818-7771,https://www.subway.co.kr/images/common/icon_detail_view.png
1,왜관 FC (미군부대 매장),-,아침메뉴,24시간,딜리버리,00,https://www.subway.co.kr/images/common/icon_detail_view.png
